table,event_id,status,rows,blocked_rows,fixture_or_missing_rows,claimable_rows
table_granger_busd_2023.csv,multi,annotated,2,0,0,2
table_granger_ftx_2022.csv,multi,annotated,2,0,0,2
table_granger_terra_luna_2022.csv,multi,annotated,2,0,0,2
table_granger_usdc_svb_2023.csv,multi,annotated,2,0,0,2
table_granger_usdt_curve_2023.csv,multi,skipped_no_edge_columns,0,0,0,0
table_leadlag_tests.csv,multi,annotated,184,168,168,16
table_leadlag_tests_busd_2023.csv,multi,annotated,8,2,2,6
table_leadlag_tests_ftx_2022.csv,multi,annotated,30,28,28,2
table_leadlag_tests_terra_luna_2022.csv,multi,annotated,12,10,10,2
table_leadlag_tests_usdc_svb_2023.csv,multi,annotated,78,72,72,6
table_leadlag_tests_usdt_curve_2023.csv,multi,annotated,56,56,56,0
table_transfer_entropy.csv,multi,annotated,220,204,204,16
table_transfer_entropy_busd_2023.csv,multi,annotated,12,6,6,6
table_transfer_entropy_ftx_2022.csv,multi,annotated,30,28,28,2
table_transfer_entropy_terra_luna_2022.csv,multi,annotated,12,10,10,2
table_transfer_entropy_usdc_svb_2023.csv,multi,annotated,110,104,104,6
table_transfer_entropy_usdt_curve_2023.csv,multi,annotated,56,56,56,0
table_var_spillovers.csv,multi,annotated,65,48,48,17
table_var_spillovers_busd_2023.csv,multi,annotated,4,0,0,4
table_var_spillovers_ftx_2022.csv,multi,annotated,4,0,0,4
table_var_spillovers_terra_luna_2022.csv,multi,annotated,4,0,0,4
table_var_spillovers_usdc_svb_2023.csv,multi,annotated,4,0,0,4
table_var_spillovers_usdt_curve_2023.csv,multi,annotated,49,48,48,1
