event_id,n_states,emission,auroc,balanced_acc,detects
usdt_curve_2023,2,gaussian_diag,0.9179,0.863,True
usdt_curve_2023,2,gaussian_full,0.8846,0.863,True
usdt_curve_2023,2,gmm2_student_approx,0.9209,0.8351,True
usdt_curve_2023,3,gaussian_diag,0.9271,0.8283,True
usdt_curve_2023,3,gaussian_full,0.8978,0.8268,True
usdt_curve_2023,3,gmm2_student_approx,0.4588,0.4723,False
usdt_curve_2023,4,gaussian_diag,0.786,0.7112,False
usdt_curve_2023,4,gaussian_full,0.9263,0.7711,True
usdt_curve_2023,4,gmm2_student_approx,0.9008,0.6762,True
terra_luna_2022,2,gaussian_diag,0.8611,0.6628,True
terra_luna_2022,2,gaussian_full,0.9059,0.7706,True
terra_luna_2022,2,gmm2_student_approx,0.9481,0.8174,True
terra_luna_2022,3,gaussian_diag,0.9545,0.9583,True
terra_luna_2022,3,gaussian_full,0.9746,0.9573,True
terra_luna_2022,3,gmm2_student_approx,0.3483,0.4409,False
terra_luna_2022,4,gaussian_diag,0.9611,0.9537,True
terra_luna_2022,4,gaussian_full,0.8796,0.5199,True
terra_luna_2022,4,gmm2_student_approx,0.9513,0.8621,True
ftx_2022,2,gaussian_diag,0.431,0.3668,False
ftx_2022,2,gaussian_full,0.4727,0.3715,False
ftx_2022,2,gmm2_student_approx,0.4273,0.3519,False
ftx_2022,3,gaussian_diag,0.3888,0.3424,False
ftx_2022,3,gaussian_full,0.4428,0.4009,False
ftx_2022,3,gmm2_student_approx,0.4291,0.3517,False
ftx_2022,4,gaussian_diag,0.4314,0.406,False
ftx_2022,4,gaussian_full,0.3464,0.4106,False
ftx_2022,4,gmm2_student_approx,0.4359,0.406,False
busd_2023,2,gaussian_diag,0.5803,0.4661,False
busd_2023,2,gaussian_full,0.5595,0.456,False
busd_2023,2,gmm2_student_approx,0.6338,0.453,False
busd_2023,3,gaussian_diag,0.6176,0.453,False
busd_2023,3,gaussian_full,0.5075,0.453,False
busd_2023,3,gmm2_student_approx,0.5454,0.4637,False
busd_2023,4,gaussian_diag,0.6067,0.4881,False
busd_2023,4,gaussian_full,0.4957,0.4624,False
busd_2023,4,gmm2_student_approx,0.536,0.4637,False
usdc_svb_2023,2,gaussian_diag,0.8167,0.8069,True
usdc_svb_2023,2,gaussian_full,0.7942,0.7842,False
usdc_svb_2023,2,gmm2_student_approx,0.8323,0.7918,True
usdc_svb_2023,3,gaussian_diag,0.9165,0.7823,True
usdc_svb_2023,3,gaussian_full,0.9349,0.7732,True
usdc_svb_2023,3,gmm2_student_approx,0.7614,0.5944,False
usdc_svb_2023,4,gaussian_diag,0.8897,0.7747,True
usdc_svb_2023,4,gaussian_full,0.9168,0.7648,True
usdc_svb_2023,4,gmm2_student_approx,0.8706,0.6364,True
